sample,UMAP1,UMAP2,cancer_type,immune_hallmark_mean,sustained_hallmark_mean,key_gene_expression
TCGA-EM-A4FU-01A-11R-A250-07,3.0364225,4.6763535,THCA,4.681105255144138,3.987779159599759,2.2073051800704047
TCGA-EM-A2CU-01A-12R-A180-07,3.0415978,3.8064067,THCA,4.790314506055486,4.230835385015939,3.796796667536187
TCGA-BJ-A0Z0-01A-11R-A10U-07,2.4783452,5.6252155,THCA,4.9817939245174765,3.9934330179357738,4.173063306456592
TCGA-EM-A3SX-01A-11R-A22U-07,1.7273003,2.4390898,THCA,5.014963217697191,4.303991637217691,4.686026179454542
TCGA-DE-A2OL-01A-11R-A18C-07,2.6666038,5.5722384,THCA,5.08019136262887,4.0753727765776615,5.176600881459433
TCGA-FK-A3SH-01A-11R-A22L-07,3.78765,3.5377195,THCA,4.280469284038517,3.8610303240431945,3.135117083539933
TCGA-ET-A3DP-01A-11R-A21D-07,1.6671642,2.2218795,THCA,5.282778079641114,4.412607876669232,6.0154266480265965
TCGA-EM-A4FK-01A-11R-A250-07,2.188119,4.993646,THCA,5.070199203742336,4.038819307467278,5.016617664210792
TCGA-ET-A3DU-01A-11R-A19O-07,3.6312985,2.1777942,THCA,4.73234227106495,4.301558209918277,4.03960971234758
TCGA-DJ-A3V6-01A-11R-A22U-07,2.8787096,3.0207713,THCA,4.772110094282779,4.276348997977927,4.060904893384471
TCGA-EL-A3H2-01A-11R-A20F-07,2.6880918,5.3348827,THCA,4.846758916150465,4.05507170524476,3.798684739820089
TCGA-BJ-A0Z5-01A-11R-A10U-07,2.7278073,3.538462,THCA,4.733249916722399,4.0826537034724355,3.912713240854817
TCGA-DJ-A2PT-01A-11R-A18C-07,3.6379733,2.7362773,THCA,4.566954936628608,4.2458713006117135,2.8860869382981287
TCGA-DE-A0Y2-01A-11R-A10U-07,1.6335622,2.9922364,THCA,5.449421012386621,4.422649955487397,6.118230722216216
TCGA-EL-A3D6-01A-12R-A206-07,2.8308947,2.4618378,THCA,4.897854238732466,4.329665989986342,3.917180082767208
TCGA-BJ-A28X-01A-11R-A22L-07,2.3008864,1.2562451,THCA,5.171798614614115,4.631959430307305,4.54190878190868
TCGA-BJ-A0Z9-01A-11R-A10U-07,2.1611915,3.2120576,THCA,5.215589637258647,4.391543635011934,4.841461705642073
TCGA-BJ-A192-01A-31R-A13Y-07,2.9928534,5.2248616,THCA,4.719583048008143,3.9834280721774746,3.71439652429657
TCGA-EM-A2CP-01A-11R-A180-07,2.655763,1.3766246,THCA,5.0160208069959324,4.4859345443108065,3.371473589435914
TCGA-EL-A3H3-01A-11R-A206-07,3.1650276,2.4371688,THCA,4.846881943026771,4.127577975879422,3.626438358930607
TCGA-FE-A23A-01A-11R-A16R-07,3.6060646,2.7349417,THCA,4.701929585262833,4.234363783495596,3.7272639444144655
TCGA-FY-A3R7-01A-11R-A220-07,1.8708768,1.9024069,THCA,5.141925154450018,4.466796981140942,5.145421697964526
TCGA-EM-A4FM-01A-11R-A250-07,3.6277595,3.1415148,THCA,4.580786523667576,4.15050148594099,3.433611626845334
TCGA-CE-A485-01A-11R-A23W-07,1.8314499,1.7083358,THCA,5.0967722270741875,4.6198714374767,4.887320734147011
TCGA-BJ-A4O8-01A-11R-A250-07,2.086285,1.4444469,THCA,5.065914074461763,4.542007989449458,4.803884181466398
